,maxs,Species,mins,YearsMax,YearsMin,DaysChange,YearSpan,DaysPerYear,Estimate,SD,LB,UB,Effects,sign,Var DaysChange,VarYears,VarDaysperyear,VarSlope,,RangeDaysChange,RangeYears,RangeDaysperYear,RangeSlope
1,351.9594693,bougainvillea berberidifolia,189.5281294,2018,1826,162.43134,192,0.845996562,0.536559896,0.271391624,0.108837123,1.173229188,year_s,last,3136.435194,1758.173706,0.848567841,0.230005968,,233.9604467,170,5.302926712,2.646011964
2,324.4716761,bougainvillea campanulata,207.5114454,2018,1910,116.9602307,108,1.082965099,0.464439344,0.473096307,-0.098797936,1.686731752,year_s,last,,,,,,,,,
3,347.950294,bougainvillea modesta,183.1107565,2018,1894,164.8395376,124,1.329351109,0.573118805,0.528289201,-0.661070344,1.648357497,year_s,last,Mean,Median,Mode,Variance,SD,Range,IQR,,
4,222.3038775,bougainvillea stipitata,158.0391441,2018,1863,64.26473338,155,0.414611183,0.552173056,1.08654205,-0.857791236,2.617664549,year_s,last,0.805635578,0.591773825,#N/A,0.848567841,0.932621058,5.302926712,,,
5,311.6533572,dendrophorbium cabrerae,196.1825662,1988,1857,115.470791,131,0.88145642,0.376874159,0.139914211,0.128134295,0.674010541,year_s,last,,,,,,,,,
6,298.9969528,hibiscus sororius,228.1555253,2004,1982,70.84142753,22,3.220064888,0.204915081,0.234828542,-0.189872119,0.630621134,year_s,last,,,,,,,,,
7,314.344036,hibiscus vitifolius,195.5726604,2011,1989,118.7713756,22,5.398698892,0.480811303,0.941305823,-1.617534127,2.170821388,year_s,last,,,,,,,,,
8,274.6887622,hippeastrum puniceum,251.2689853,2009,1848,23.41977693,161,0.145464453,-0.071272823,0.13457617,-0.344302092,0.18912907,year_s,first,,,,,,,,,
9,110.7545234,senecio algens,28.46655267,2004,1826,82.28797075,178,0.46229197,-0.278333237,0.386952568,-1.022505175,0.399678437,year_s,first,,,,,,,,,
10,193.3507648,senecio attenuatus,104.4812647,1993,1861,88.8695001,132,0.673253789,-0.358543656,0.746637482,-1.616926422,1.564467044,year_s,first,,,,,,,,,
11,255.5366322,senecio ayapatensis,186.1638046,2005,1903,69.37282753,102,0.68012576,-0.164421398,0.508797881,-0.931051341,1.338839686,year_s,first,,,,,,,,,
12,180.7916043,senecio boliviensis,95.57617356,2000,1856,85.21543073,144,0.591773825,0.287598583,0.104607241,0.096347232,0.500250072,year_s,last,,,,,,,,,
13,200.4736852,senecio campanulatus,124.384494,1996,1858,76.08919119,138,0.551370951,0.279931294,0.153491105,0.018100908,0.597896187,year_s,last,,,,,,,,,
14,171.3237861,senecio candollii,88.81313084,2012,1857,82.51065528,155,0.532326808,-0.242481813,0.122825021,-0.50379735,-0.01621882,year_s,first,,,,,,,,,
15,188.1040113,senecio clivicola pampae,157.6274708,2006,1906,30.47654045,100,0.304765404,-0.009405676,0.942324804,-1.316373269,2.36021522,year_s,first,,,,,,,,,
16,199.5367305,senecio clivicolus,-38.67969621,2020,1848,238.2164267,172,1.384979225,-1.532222555,0.930056664,-2.812097451,0.916874206,year_s,first,,,,,,,,,
17,341.1275618,senecio crepidifolius,249.105003,2005,1860,92.02255881,145,0.634638337,-0.397015709,0.893928133,-2.02791301,1.664465101,year_s,first,,,,,,,,,
18,139.4995271,senecio dryophyllus,30.02966501,2003,1826,109.4698621,177,0.618473797,-0.280580204,0.158434215,-0.598608628,0.039579611,year_s,first,,,,,,,,,
19,260.2173385,senecio epiphyticus,138.2171764,2005,1892,122.0001621,113,1.079647452,0.542790771,0.695785232,-1.750652826,1.47670534,year_s,last,,,,,,,,,
20,199.2916842,senecio grisebachii,85.45791983,2008,1924,113.8337644,84,1.355163862,0.437915641,0.887125434,-1.545307865,2.158688361,year_s,last,,,,,,,,,
21,269.0283107,senecio hieronymi,250.0159642,2007,1924,19.01234644,83,0.229064415,0.023964181,0.25308446,-0.481472469,0.287662772,year_s,last,,,,,,,,,
22,426.6629916,senecio hohenakeri,276.7327076,2009,1858,149.930284,151,0.992915788,-1.091331406,1.321671603,-3.001645083,1.864200468,year_s,first,,,,,,,,,
23,351.7541962,senecio humillimus,157.6647122,1997,1858,194.089484,139,1.396327223,1.113789409,1.070350653,-1.872235422,2.580814822,year_s,last,,,,,,,,,
24,155.5432139,senecio modestus,9.27589899,2009,1826,146.2673149,183,0.799274945,0.874997491,0.916569383,-0.75361134,2.522555753,year_s,last,,,,,,,,,
25,292.1938622,senecio multinervis,243.7571464,1991,1858,48.43671579,133,0.364185833,0.168662338,0.09892946,-0.013954433,0.374050298,year_s,last,,,,,,,,,
26,266.5386179,senecio pensilis,221.3972064,2004,1865,45.14141153,139,0.324758356,0.287975012,1.292330796,-2.268410443,2.576699138,year_s,last,,,,,,,,,
27,117.0664179,senecio pentapterus,93.50262772,2000,1920,23.5637902,80,0.294547378,0.062947374,0.306529653,-0.413130124,0.707514251,year_s,last,,,,,,,,,
28,250.6970178,senecio pentlandianus,133.3279474,1988,1829,117.3690704,159,0.738170254,0.497725852,0.60731829,-1.256819159,1.47853596,year_s,last,,,,,,,,,
29,136.9697708,senecio potosianus,49.07734565,2012,1826,87.89242518,186,0.47253992,-0.203171748,0.060679611,-0.326115135,-0.083725216,year_s,first,,,,,,,,,
30,195.9722189,senecio praeruptorum,180.299935,2009,1848,15.67228395,161,0.097343379,-0.078369451,0.942590076,-1.873829801,1.925190742,year_s,first,,,,,,,,,
31,228.2452497,senecio rhizomatus,77.02928271,2008,1858,151.215967,150,1.008106447,-0.497111181,0.134804344,-0.791977956,-0.246012777,year_s,first,,,,,,,,,
32,120.9845174,senecio rudbeckiifolius,37.79375633,2007,1892,83.19076106,115,0.723397922,-0.260139704,0.690709134,-1.542996777,1.556196861,year_s,first,,,,,,,,,
33,179.3331471,senecio rufescens,155.7250647,2006,1908,23.60808245,98,0.240898801,0.113958779,1.023725846,-1.085148645,2.400880911,year_s,last,,,,,,,,,
34,93.36866112,senecio serratifolius,78.57861528,2007,1858,14.79004584,149,0.099262053,0.05533097,0.443729533,-0.745232155,1.191082405,year_s,last,,,,,,,,,
35,209.615717,senecio sinapoides,65.65215316,1980,1891,143.9635639,89,1.617568133,-0.54141645,0.327531528,-1.020333685,0.31883878,year_s,first,,,,,,,,,
36,18.3833262,senecio smithioides,14.12734616,2000,1978,4.25598004,22,0.193453638,-0.010555628,0.089613591,-0.177294769,0.16307599,year_s,first,,,,,,,,,
37,237.0652903,senecio spinosus,219.4540688,2007,1901,17.61122145,106,0.166143599,-0.022449649,0.96330393,-1.741203636,2.107303564,year_s,first,,,,,,,,,
38,218.5506749,senecio trilobus,181.590098,2021,1903,36.96057685,118,0.313225228,-0.073925964,0.242836042,-0.509581068,0.351505425,year_s,first,,,,,,,,,
39,159.4809318,senecio wedglacialis,131.1185299,2005,1859,28.36240186,146,0.194263026,0.03505725,0.688991851,-1.949518742,1.13399417,year_s,last,,,,,,,,,
40,247.0153424,sigesbeckia orientalis,173.6874441,2011,1859,73.32789829,152,0.482420383,-0.400246999,1.041395567,-2.272483529,1.693600035,year_s,first,,,,,,,,,
41,222.1067197,zea mays,213.7745401,1995,1908,8.332179644,87,0.09577218,-0.019228247,0.054587165,-0.11831543,0.091022022,year_s,first,,,,,,,,,
